path,lines,agi_layer,disposition,cluster,module_summary,phase0_note
app/cognition/completion_honesty.py,157,mind/cognition-core,KEEP,,Completion honesty guard (owner live test 2026-09-08).,truth boundary
app/cognition/concept_bridge.py,273,mind/reasoning,KEEP,,Goal-side concept expansion: colloquial SYMPTOMS -> diagnostic CONCEPTS.,symptoms → concepts expansion
app/cognition/condition_language.py,677,mind/decision,KEEP,,The typed condition language (P0 review #9).,
app/cognition/confidence.py,30,mind/reasoning,LEGACY,,Lightweight empirical calibration of evidence-source reliability.,owner-deferred prototype (charter §5⑦); test-only
app/cognition/confidence_calibrator.py,369,mind/reasoning,KEEP,,Phase 5B: Confidence Calibration.,
app/cognition/consciousness_simulation.py,725,models/self,INTEGRATE,SELF,Phase 19: Consciousness Simulation,Phase 19 engine
app/cognition/consolidation.py,353,learning/consolidation,INTEGRATE,EVOLUTION,"Audited consolidation of conflicts, durable gists, and calibration reports.","Phase 21 LIVE: the WIRED medium-lane engine — app/mind/evolution.py delegates consolidation (conflict replay, gists from repeated verified success, calibration refresh) to it and claims only its audited telemetry; appends, never deletes raw experience (the forgetting guard)"
app/cognition/continual_learning.py,263,learning/consolidation,INTEGRATE,EVOLUTION,Regression-gated continual-learning cycles (F3 orchestration).,regression-gated continual-learning cycles — long-lane material for the Phase-21 organ app/mind/evolution.py
app/cognition/correction_measurements.py,246,evaluation/learning,INTEGRATE,,Owner-correction telemetry kept separate from correctness and training state.,owner-correction telemetry — feeds learning-from-owner
app/cognition/counterfactual_simulator.py,416,mind/imagination,KEEP,,Milestone 4: Counterfactual Parallel Mental Simulator Engine.,mental simulation of strategies
app/cognition/creative_generation.py,624,mind/imagination,KEEP,,Phase 16: Creative Generation Engine,
app/cognition/criterion_evaluator.py,374,mind/decision,KEEP,,CriterionEvaluator — the step-level predicate pipeline (P0 #16).,
app/cognition/criticality_review.py,134,mind/decision,KEEP,,Bounded pre-gate criticality review for action recommendations.,
app/cognition/cross_domain_transfer.py,851,learning/transfer,KEEP,,Phase 15: Cross-Domain Transfer Learning,owner-deferred embedding completion
app/cognition/cultural_learning.py,989,learning/social,KEEP,,Phase 21: Cultural Learning,
app/cognition/diagnostic_ranking.py,162,mind/reasoning,KEEP,,Diagnostic hypothesis ranking (P2 review).,
app/cognition/disk_reservation.py,220,infrastructure/resources,KEEP,,Persistent free-disk reservations for bounded browser transfers.,
app/cognition/embodied_boundary.py,83,models/world,MERGE,WORLD,"Evidence-linked boundary between Arena, owner, devices, and environment.",
app/cognition/embodied_cognition.py,935,perception/environment,INTEGRATE,,Phase 20: Embodied Cognition,Phase 20 engine
app/cognition/environment_grounding.py,105,models/world,MERGE,WORLD,Phase B/E: Environmental Self-Grounding & Resource Topology Engine.,
app/cognition/environment_state.py,96,models/world,MERGE,WORLD,Environment observation/reconciliation (review #3).,overlaps world_model/environment_grounding — one world surface
app/cognition/epistemic_presentation.py,225,mind/cognition-core,KEEP,,User-facing epistemic status for evidence-grounded responses.,
app/cognition/ethical_reasoning.py,623,owner-authority/values,KEEP,,Phase 11: Ethical Reasoning System,annotates + routes to owner decision; never suppresses (charter §2)
app/cognition/event_bus.py,68,infrastructure/events,KEEP,,Lightweight in-process event bus for Arena's cognitive systems.,
app/cognition/events.py,32,infrastructure/events,KEEP,,Typed-enough cognitive events used to decouple Arena subsystems.,
app/cognition/execution_control.py,569,mind/cognition-core,KEEP,,Cooperative cancellation registry and truthful rollback receipts.,
app/cognition/execution_result.py,85,mind/cognition-core,KEEP,,First-Class ExecutionResult and ExecutionStatus Abstractions.,
app/cognition/execution_truth.py,306,mind/cognition-core,KEEP,,"Execution Truth Layer (owner review item 12 / P0 #2, 2026-09-01).",
app/cognition/experiment_engine.py,80,mind/imagination,INTEGRATE,,Phase C: Experimentation & Self-Play Sandbox Exploration Engine.,experimentation sandbox — Phase-9 curiosity effector
app/cognition/functional_affect.py,271,models/self,INTEGRATE,,"Bounded functional affect telemetry, not subjective emotion.",bounded functional affect telemetry (social/emotional context)
app/cognition/goal_decomposer.py,543,mind/decision,INTEGRATE,PLANNERS,Phase 6A: Long-Horizon Goal Decomposition.,
app/cognition/goal_interpreter.py,1397,mind/reasoning,KEEP,,Semantic Goal & Intent Representation Layer (Goal Representation v2).,goal representation v2
app/cognition/goal_lifecycle.py,151,mind/cognition-core,KEEP,,Goal Lifecycle & State Progression Engine.,
app/cognition/goal_replanner.py,263,mind/decision,INTEGRATE,PLANNERS,Goal Reassessment & Replanning Engine.,
app/cognition/goal_verifier.py,873,mind/cognition-core,KEEP,,Goal Verification Engine.,
app/cognition/guard_visibility.py,155,mind/cognition-core,KEEP,,"Guard-refusal visibility (owner vision charter §6, raw-input item).",charter §6
app/cognition/hypotheses.py,142,mind/reasoning,INTEGRATE,BELIEF,Bounded competing hypotheses for evidence-driven reasoning.,
app/cognition/identity_adaptation.py,1066,models/self,MERGE,SELF,Owner-governed identity adaptation and purpose proposals.,owner-governed identity adaptation — personality-development seed; Phase 17 built the authoritative derived-personality organ app/mind/personality.py
app/cognition/identity_continuity.py,79,models/self,MERGE,SELF,Restart-aware continuity checks for Arena's functional identity state.,
app/cognition/incubation_queue.py,556,mind/imagination,KEEP,,"Owner-visible, bounded incubation queue for safe background reasoning.",bounded background reasoning
app/cognition/inference_profile.py,370,infrastructure/inference,KEEP,,Owner-managed local inference profile with measured recommendations.,
app/cognition/information_gain.py,16,mind/motivation,KEEP,,Lightweight information-seeking primitives for uncertain beliefs.,information-seeking primitives
app/cognition/intelligence_benchmark.py,1862,evaluation/regression,KEEP,,"Isolated longitudinal benchmarks for learning, transfer, and control integrity.","isolated longitudinal benchmark — regression-style, NOT the Phase-24 generalization tasks"
app/cognition/language_grounding.py,855,mind/reasoning,KEEP,,Phase 22: Language Grounding,
app/cognition/learning_progress.py,162,mind/motivation,KEEP,,Learning-progress motivation: explore where competence is actually growing.,curiosity: explore growing competence
app/cognition/lora_evaluation.py,282,learning/consolidation,KEEP,,Held-out LoRA evaluation and evidence-gated provider deployment.,
app/cognition/memory.py,534,memory/episodic+semantic+procedural,INTEGRATE,MEMORY,"Phase 4: lightweight persistent episodic, semantic, and procedural memory.",the future unified-memory facade nucleus
app/cognition/memory_learning.py,244,learning/experience,MERGE,REFLECTION,Phase 4/P1-F: Memory Learning & Reflection Integration Engine.,
app/cognition/metacognitive_monitor.py,903,models/self,INTEGRATE,SELF,Phase 18: Metacognitive Monitoring,"introspection seed (records cognitive processes, reads goal_verified); Phase 19's app/mind/reflection.py is the authoritative reflection alongside it"
app/cognition/observation_router.py,1074,models/world,INTEGRATE,WORLD,Deterministic routing of host-state questions to real read-only observations.,host-state questions → real observations
app/cognition/ontology_schema.py,383,models/world,KEEP,,Owner-controlled ontology/schema revisions with append-only history.,owner-controlled ontology revisions
app/cognition/os_control_planner.py,362,embodiment/os-abstraction,INTEGRATE,EMBODIMENT,"General OS control: one planner for every OS action, every platform.",the platform-command executor UNDER the Phase-12 concept layer (app/mind/os_concepts.py owns the platform-free abstraction; this plans the per-OS shell command when the cycle acts)
app/cognition/os_grounding.py,64,models/world,INTEGRATE,WORLD,"Persistent evidence links between tasks, applications, processes, and windows.",task↔app↔process↔window evidence links
app/cognition/owner_charter.py,196,owner-authority/values,KEEP,,The Owner Charter: the owner's values and priorities as the top directive.,owner's values as top directive (charter §2)
app/cognition/owner_control.py,396,owner-authority/control-plane,KEEP,,Persistent owner control plane for action authorization.,
app/cognition/owner_decisions.py,205,owner-authority/decisions,KEEP,,Signed owner decisions binding expected system-state changes to authority.,
app/cognition/owner_model.py,193,models/owner,INTEGRATE,,The owner model: counted patterns from the owner's own decisions.,exists: counted patterns from owner decisions; becomes the relationship model
app/cognition/parked_goal_recheck.py,317,mind/motivation,KEEP,MOTIVATION,Parked goals get re-checked automatically (owner live test 2026-09-08).,wired in server lifespan; Phase 15 LIVE: its parked (waiting_for_evidence) goals feed app/mind/motivation.py as the unfinished_goal evidence source
app/cognition/perception.py,728,perception/environment,INTEGRATE,,Perception & Observation Collector Layer.,observation collector — post-action probes today
app/cognition/periodic_autonomous_cycle.py,772,mind/motivation,INTEGRATE,MOTIVATION,Phase 10: Periodic Autonomous Cycle,
app/cognition/phase0_evaluation.py,435,evaluation/learning,KEEP,,Isolated Phase 0 evaluation runner for evidence-centered behavior.,
app/cognition/phase1_evidence.py,202,evaluation/learning,KEEP,,Owner-visible aggregation for bounded Phase 1 evidence.,
app/cognition/phase1_task_evaluations.py,356,evaluation/learning,KEEP,,Append-only owner-recorded evaluations for Phase 1 held-out tasks.,
app/cognition/phase7_preferences.py,615,mind/motivation,INTEGRATE,,Bounded Phase 7 preference and novelty evaluations.,preference & novelty evaluation
app/cognition/pipeline.py,10,mind/cognition-core,LEGACY,AUTHORITY,Compatibility names for the single authoritative cognitive pipeline.,compat aliases (PipelineBridge); stop building on it
app/cognition/plan_control.py,352,owner-authority/plan-review,KEEP,,"Owner review, editing, approval, and revocation for execution plans.",
app/cognition/plan_freshness.py,57,mind/decision,KEEP,,Cross-session environment assumptions bound to an approved plan revision.,
app/cognition/plan_step_reconciliation.py,191,mind/decision,KEEP,,Reconciliation outcomes applied to exact reviewed plan steps.,
app/cognition/planning_patterns.py,267,mind/decision,MERGE,PLANNERS,Phase 3C: Domain-General Planning Patterns.,
app/cognition/prediction_engine.py,85,mind/imagination,KEEP,IMAGINATION,Phase C/P1-E: Prediction vs Outcome Surprisal Engine.,"prediction vs outcome surprisal; Phase 10 wires it into app/mind/imagination.py (simulate before acting, compare vs reality — M11 connected)"
app/cognition/privilege_model.py,39,models/world,KEEP,,Explicit OS privilege and process-ownership evidence.,OS privilege evidence
app/cognition/project_manager.py,562,mind/decision,INTEGRATE,PLANNERS,Phase 6B: Multi-Session Project Management.,
app/cognition/project_scheduler.py,520,mind/decision,INTEGRATE,PLANNERS,"Persistent, resource-aware execution of ready project sub-goals.",
app/cognition/prompt_slicer.py,74,infrastructure/inference,KEEP,,Dynamic Instruction Slicer & Context Budget Prompt Summarizer Guard.,
app/cognition/prospective_memory.py,77,memory/working,INTEGRATE,MEMORY,Bounded prospective-memory helpers for conversation-turn reminders.,
app/cognition/raw_input_guard.py,214,owner-authority/safety-gates,KEEP,,Mandatory grounding gate for legacy raw-coordinate input actions.,
app/cognition/reasoning_cycle.py,123,mind/reasoning,MERGE,LOOP,"Phase 3 cognitive loop: assess, identify uncertainty, and choose next step.",two cognitive loops exist — one loop in the Mind
app/cognition/reasoning_loop.py,264,mind/reasoning,MERGE,LOOP,Closed observe -> reason -> investigate -> observe cognitive loop.,
app/cognition/resource_allocator.py,543,mind/decision,KEEP,,Phase 5C: Strategic Resource Allocation.,
app/cognition/response_grounding.py,181,mind/cognition-core,KEEP,,Reconcile generated responses with authoritative evidence.,truth boundary
app/cognition/runtime.py,5337,mind/cognition-core,INTEGRATE,AUTHORITY,Unit P1-A: Canonical CognitiveRuntime Composition Root Integration.,"de-facto brain today (singleton composition root, 5.3k lines); becomes the interior of BeanieMind — not a separate authority"
app/cognition/runtime_wiring.py,285,mind/cognition-core,INTEGRATE,,Phase-module wiring for the cognitive cycle (Phases 11-21).,phase-module wiring glue
app/cognition/scene_causal.py,132,mind/imagination,INTEGRATE,,Causal and counterfactual replay for the deterministic scene model.,causal replay of scenes
app/cognition/scene_graph.py,635,models/world,INTEGRATE,WORLD,Deterministic scene state and bounded 2D physics predictions.,deterministic scene state
app/cognition/self_knowledge.py,360,models/self,MERGE,SELF,Evidence-linked self-knowledge and agency attribution.,
app/cognition/self_model.py,281,models/self,MERGE,SELF,Phase 5A: Self-Model.,exists (Phase 5A); merge with self_knowledge/identity_*
app/cognition/self_recovery.py,197,models/self,MERGE,SELF,"Persistent, advisory-only recovery for functional identity discontinuities.",
app/cognition/self_reflection_engine.py,612,mind/reflection,MERGE,REFLECTION,Phase 9: Self-Reflection Engine for Autonomous Goals,
app/cognition/semantic_matcher.py,385,capabilities/registry,KEEP,,Local semantic matching for capability discovery (P0 review #4).,
app/cognition/session.py,24,infrastructure/session,KEEP,,Session isolation for Arena's cognitive context.,
app/cognition/skill_classifier.py,169,learning/experience,INTEGRATE,,Phase 3A: Skill Abstraction Layer.,
app/cognition/skill_induction.py,293,learning/experience,INTEGRATE,,Skill induction: compress repeated successful action sequences into skills.,action sequences → skills (procedural memory feed)
app/cognition/social_cognition.py,1206,learning/social,INTEGRATE,SOCIAL,Phase 17: Social Cognition Module,Phase 16 seed (mental-state/emotion/relationship engine); the authoritative owner model is app/mind/social.py — this broader theory-of-mind engine stays available to it
app/cognition/source_types.py,192,mind/cognition-core,KEEP,,Canonical source types for evidence provenance.,
app/cognition/step_verifier.py,304,mind/cognition-core,KEEP,,"StepVerifier — independent per-step verification, distinct from GoalVerifier.",
app/cognition/strategic_planning.py,733,mind/decision,MERGE,PLANNERS,Phase 13: Long-Term Strategic Planning,
app/cognition/strategy_outcomes.py,380,learning/experience,INTEGRATE,,Phase 1B: Strategy Outcome Tracking & Outcome-Influenced Selection.,
app/cognition/structured_lessons.py,363,learning/experience,INTEGRATE,,Phase 1C: Structured Lesson Extraction & Behavior Change.,
app/cognition/temporal_vision.py,382,perception/vision,KEEP,,Deterministic temporal object tracking across visual frames.,stream-isolated tracking
app/cognition/tool_matcher.py,862,capabilities/registry,DEMOTE,EMBODIMENT,"Deterministic manifest-first routing: the manifest decides, the LLM advises.",manifest-first routing IS the tool-first thinking Phase 2 replaces; Phase 11 gives it the demoted job for real: primary capability resolver inside app/mind/embodiment.py (concepts → motor pathways)
app/cognition/tool_registry.py,935,capabilities/registry,KEEP,,Unified Tool Capability Registry with Gate Verification & Event Emissions.,"single capability authority — called BY the mind, never as it"
app/cognition/trace.py,345,evaluation/trace,KEEP,,Cognitive Pipeline Trace & Session Tracker with Hardware Telemetry.,
app/cognition/training_examples.py,540,learning/consolidation,KEEP,,Owner-reviewed continual-learning examples from verified outcomes.,owner-reviewed LoRA candidates
app/cognition/uncertainty_questions.py,294,mind/cognition-core,KEEP,,Uncertainty-driven owner questions: ask instead of acting on weak evidence.,ask instead of acting on weak evidence
app/cognition/user_state.py,297,models/owner,MERGE,OWNER,Versioned owner state with explicit provenance.,merge with owner_model
app/cognition/verified_reflection.py,372,mind/reflection,MERGE,REFLECTION,Phase 4: Verified Reflection System.,three reflection engines existed — Phase 19 made one reflection in the Mind (app/mind/reflection.py)
app/cognition/visual_observer.py,105,perception/vision,INTEGRATE,,"VisualObserver — deterministic ""understand the screen"" step for the vision loop.",
app/cognition/working_memory.py,197,memory/working,INTEGRATE,MEMORY,"Working memory: a capacity-limited, decaying attention scratchpad.",
app/cognition/world_ingest.py,91,models/world,INTEGRATE,WORLD,Bridge raw observations into Arena's persistent world model.,
app/cognition/world_model.py,783,models/world,INTEGRATE,WORLD,Phase 2: lightweight persistent world model.,exists but verification-oriented (post-action probes); must also serve pre-action world understanding
app/config.py,81,infrastructure/config,KEEP,,,
app/database.py,465,infrastructure/persistence,KEEP,,,
app/desktop_tray.py,142,communication/presence,KEEP,,,tray/autostart glue (charter §5⑥)
app/llm.py,771,infrastructure/inference,KEEP,,,LM Studio client; model router untouched (invariant #3)
app/main.py,3224,infrastructure/entry,KEEP,,,127 core REST routes
app/memory/__init__.py,0,memory,INTEGRATE,,,memory subsystem; folds into the unified memory facade
app/memory/coworker_brain.py,109,mind/identity,INTEGRATE,AUTHORITY,,"persona string only — the seed of 'I am Beanie'; superseded as the identity record by BeanieIdentity (Phase 1), which Phase 17 uses as the basic identity its derived personality starts from"
app/memory/decision_constitution.py,35,owner-authority/values,KEEP,,,
app/memory/human_nature_engine.py,104,models/owner,INTEGRATE,OWNER,,
app/memory/reflection_engine.py,113,mind/reflection,MERGE,REFLECTION,,
app/memory/semantic_rag.py,81,memory/semantic,MERGE,MEMORY,,legacy global RAG path — fold into the facade
app/mind/__init__.py,56,infrastructure/package,KEEP,,Beanie Mind — Phase 1 of the AGI roadmap (docs/AGI_ROADMAP.md).,
app/mind/attention.py,350,mind/attention,KEEP,ATTENTION,Attention — Phase 14 (Beanie AGI roadmap): M8 attention significance.,"Phase 14 LIVE (M8): the arbitrator between perception and thought — roadmap ladder from evidence on the record, repeats demoted, watermark review, one open unknown surfaced when quiet, popup-over-task advisory; decides only, never acts"
app/mind/authority.py,406,owner-authority/policy,KEEP,AUTHORITY,"Authority — Phase 18 (Beanie AGI roadmap): the owner's authority, not","Phase 18 LIVE: the OWNER's authority — five lanes of owner-stated rules (always / ask-first / never / trusted contexts / temporary), Phase-16 boundaries seed the never lane, risk patterns decide only WHEN TO ASK (ask-first opens a typed requires_owner_approval ask, never a silent drop), answers obeyed; no system morals; authority ≠ intelligence; judges authorization, never executes"
app/mind/beanie_mind.py,976,mind/cognition-core,KEEP,AUTHORITY,BeanieMind — the one canonical entry point (AGI roadmap Phase 1).,Phase 1 LIVE: the one canonical door — BeanieMind.process(...)
app/mind/beliefs.py,313,mind/beliefs,KEEP,BELIEFS,Beliefs — post-roadmap growth (audit item #20): false-belief theory,"Post-roadmap LIVE (audit #20): false-belief theory of mind — what the owner believes, captured from markers in the owner's own words (never mind-read), held separately from what the evidence shows; check() sets belief vs the VERIFIED record (corroborated / contested either direction / unknown plainly); guide() meets a contested belief with acknowledgment + her own record + the decision left to the owner — never 'you are wrong'; she models the owner's mind, she never edits it"
app/mind/curiosity.py,304,mind/curiosity,KEEP,CURIOSITY,CuriosityEngine — Phase 9 (Beanie AGI roadmap): the internal UNKNOWN,"Phase 9 LIVE: the internal UNKNOWN system — brief gaps become records, encounters compound, investigation searches memory first, resolution paths counted (knowledge/investigation/owner)"
app/mind/embodiment.py,247,mind/motor,KEEP,EMBODIMENT,Embodiment — Phase 11 (Beanie AGI roadmap): the existing capabilities,"Phase 11 LIVE: the 184 capabilities as her motor system — concepts in, ranked pathways out (plans only, never execution); authority surfaced, motor gaps become unknowns"
app/mind/embodiments.py,333,mind/embodiments,KEEP,EMBODIMENT,Embodiments — Phase 23 (Beanie AGI roadmap): desktop + Android as,"Phase 23 LIVE: the bodies of the ONE mind — desktop and Android both clients of the same mind, never two assistants; bodies announce from a fixed vocabulary (never invented), aliveness derived from heartbeats (never assumed), one presence message to every alive body (silent ones skipped honestly, deliveries never faked), bodies pull + acknowledge their own queue, and note_execution credits WHICH body's hands acted (hands, never brains); the door broadcasts the settled presence state after a verified cycle — background presence, one continuous conversation"
app/mind/evaluation.py,383,mind/evaluation,KEEP,EVALUATION,Evaluation — Phase 24 (Beanie AGI roadmap): AGI evaluation.,"Phase 24 LIVE: AGI evaluation — measure generalization, not test counts; the seven task families (A teach-once→variation; B tutorial without hard-coded workflow; C unfamiliar error → registered unknown; D environment change → revision advance; E incomplete instruction → UNKNOWN preserved; F failure → counsel; G teach on one body → transfer via the OS concept layer, gaps VISIBLE) run as deterministic proxies against the real organs — proxies honestly labeled, never proof"
app/mind/evolution.py,410,mind/evolution,KEEP,EVOLUTION,Evolution — Phase 21 (Beanie AGI roadmap): model evolution.,"Phase 21 LIVE: model evolution in three lanes — fast lane reported from the live wiring (never duplicated); medium lane delegates to the wired ConsolidationCoordinator when enough new verified learning accumulates (appends, never deletes raw experience — the forgetting guard); long lane exports her OWN verified ledger as a provenance dataset with deterministic sufficiency rules (arithmetic, never optimism) and reports adapter readiness — training stays on the owner's GPU machine, never claimed here"
app/mind/identity.py,201,mind/identity,KEEP,AUTHORITY,"BeanieIdentity — the ""I am Beanie"" record (MISSING item M1, Phase 1).",Phase 1 LIVE: 'I am Beanie' as persisted state (M1)
app/mind/idle_replay.py,307,mind/idle_replay,KEEP,IDLE_REPLAY,Idle replay — post-roadmap growth (audit item #18): dream-like,"Post-roadmap LIVE (audit #18): dream-like consolidation — replays everything NEW since the last replay (watermark in the replay ledger); gathers related experiences into threads by vocabulary overlap; each thread judged ONLY by the verifier's tally (strengthen / revisit / open); open gaps named, not re-argued; the door runs it when the quiet between messages crosses the idle window — she dreams between messages; describes, never acts"
app/mind/imagination.py,302,mind/imagination,KEEP,IMAGINATION,Imagination — Phase 10 (Beanie AGI roadmap): reasoning and imagination.,Phase 10 LIVE: simulate before acting (prediction + own verified history + open unknowns + counsel); compare prediction vs reality into a ledger + confirmed/refuted training data (M11 resolved)
