path,category,baseline_lines,current_lines,baseline_sha256,current_sha256,syntax_check,reference_check,review_scope,notes
android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,asset_or_platform_resource,5,5,32715ff646f6b9fef7c321138e4a14556c4a1f98a87b06070b56f41643dad718,32715ff646f6b9fef7c321138e4a14556c4a1f98a87b06070b56f41643dad718,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,asset_or_platform_resource,5,5,32715ff646f6b9fef7c321138e4a14556c4a1f98a87b06070b56f41643dad718,32715ff646f6b9fef7c321138e4a14556c4a1f98a87b06070b56f41643dad718,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/values/colors.xml,asset_or_platform_resource,11,11,126fc5b8caf17dfb7619626d207d0959aa3241e99a6c9d10ab8c8562a7d76044,126fc5b8caf17dfb7619626d207d0959aa3241e99a6c9d10ab8c8562a7d76044,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/values/strings.xml,asset_or_platform_resource,7,7,a6fb30adb750c9e421364b5e6e32faf2a6aaecb0c44c5041533d73dad6942e8d,a6fb30adb750c9e421364b5e6e32faf2a6aaecb0c44c5041533d73dad6942e8d,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/values/themes.xml,asset_or_platform_resource,4,4,4111760da36b46cbe247fe8606d769ca987497fa08fba18b1d3975fc26a9b9b5,4111760da36b46cbe247fe8606d769ca987497fa08fba18b1d3975fc26a9b9b5,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/xml/backup_rules.xml,asset_or_platform_resource,4,4,2572f452394c42d74a2fac46b47b261996f1c65ad1149cbae84a69339069b667,2572f452394c42d74a2fac46b47b261996f1c65ad1149cbae84a69339069b667,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/xml/data_extraction_rules.xml,asset_or_platform_resource,6,6,05a914d49b1e4a1ec3790b1b5533d709211988586de9abf8a099c86abbad62f2,05a914d49b1e4a1ec3790b1b5533d709211988586de9abf8a099c86abbad62f2,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/xml/network_security_config.xml,asset_or_platform_resource,11,11,1c6ec10a7aba731b469756d62c678960610bd3463684c5302fed18fda7cb073f,1c6ec10a7aba731b469756d62c678960610bd3463684c5302fed18fda7cb073f,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/build.gradle.kts,source_or_support,7,7,499ca3ab2c583f7888c9d9f0f3ea312ccf64387fc422df458cadba7368525c9a,499ca3ab2c583f7888c9d9f0f3ea312ccf64387fc422df458cadba7368525c9a,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/gradle.properties,documentation_or_configuration,29,29,c21f7c80ce69e64dccacfa811b4e67d71cae891e4928793132c811dda898ada9,c21f7c80ce69e64dccacfa811b4e67d71cae891e4928793132c811dda898ada9,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/gradle/wrapper/gradle-wrapper.jar,asset_or_platform_resource,0,0,a8451eeda314d0568b5340498b36edf147a8f0d692c5ff58082d477abe9146e4,a8451eeda314d0568b5340498b36edf147a8f0d692c5ff58082d477abe9146e4,binary fingerprint only; not decompiled/executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/gradle/wrapper/gradle-wrapper.properties,documentation_or_configuration,7,7,35de83dec52b3733316f01c5769cd7b6b5fe868a275a1744d3710c9916a38ad5,35de83dec52b3733316f01c5769cd7b6b5fe868a275a1744d3710c9916a38ad5,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/gradlew,source_or_support,249,249,f540659d1dacf33a3b5beba6cd6336b24584ddd6f701d44efb3b9d1f7b84add5,f540659d1dacf33a3b5beba6cd6336b24584ddd6f701d44efb3b9d1f7b84add5,POSIX shell syntax passed; vendor launcher not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/gradlew.bat,source_or_support,93,93,6187f282c34c9da7882f9da7cbadc98fcdb5dff2166a9ee7ee8223dc09d26dce,6187f282c34c9da7882f9da7cbadc98fcdb5dff2166a9ee7ee8223dc09d26dce,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/settings.gradle.kts,source_or_support,24,24,029c778df8fde36d7b06ef94e08788c0498019b0decae46614ba9cc2640dd2fb,029c778df8fde36d7b06ef94e08788c0498019b0decae46614ba9cc2640dd2fb,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
app/__init__.py,source_or_support,1,1,3f34023021d5e5725826914360f018c0f9319cccdd57b80df3487b9f46fadac7,3f34023021d5e5725826914360f018c0f9319cccdd57b80df3487b9f46fadac7,passed,package/export surface; graph absence is not dead-code evidence,static scan; no exhaustive per-line manual semantic review claimed,
app/agents/__init__.py,source_or_support,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,passed,package/export surface; graph absence is not dead-code evidence,static scan; no exhaustive per-line manual semantic review claimed,
app/agents/coding_agent.py,source_or_support,283,283,44105db5005179936ce1cd5a8b9c40971d84129c7b3b3ea4caa6c2c2f091de07,bfe409235b901e17f950a449ab969b4e5a1f34b124c0e2029aab5954d1016c78,passed,import/literal dynamic-import path from known roots; not proof every method executes,targeted finding/import review + regression checks,
app/agents/data_analysis_agent.py,source_or_support,327,327,3a2cff481990f56486e303f7309b519d41adf260cae1f6e0f7227950bb79d15c,3a2cff481990f56486e303f7309b519d41adf260cae1f6e0f7227950bb79d15c,passed,import/literal dynamic-import path from known roots; not proof every method executes,static scan; no exhaustive per-line manual semantic review claimed,
app/agents/master_agent.py,source_or_support,1086,1060,e1f09994cb7f550e8d8085e7cc93df6c14c74e3f20669a33bee21a665ba05511,4609298d16b3dc17baadc137e93c50327e715da3a22a1c2677287bb22f461f11,passed,import/literal dynamic-import path from known roots; not proof every method executes,targeted finding/import review + regression checks,
app/agents/multi_agent.py,source_or_support,87,86,ad0c94162841de88dc3aad607c50c51238ae7a8f2e3fc182018a0643b5bbf70b,3c2e9dc64cfb3680b2c4d9da1ce3577fc22ea190491dbb97ea4ce11e66a9d8bb,passed,import/literal dynamic-import path from known roots; not proof every method executes,targeted finding/import review + regression checks,
